Host, IP Address, Type, Technologies
bop.biofarma.co.id, 35.219.110.212, web-application, "Bootstrap,Google Cloud,Google Cloud Storage,HTTP/3,jQuery"
doc-bind-ui.biofarma.co.id, 34.49.164.131, web-application, "Google Cloud,Google Cloud CDN,HTTP/3"
klms.biofarma.co.id, 34.54.42.130, web-application, "Google Cloud,Google Cloud CDN,HSTS,HTTP/3,JSZip,TinyMCE,Unpkg"
leaflet.biofarma.co.id, 34.95.126.160, web-application, "Google Cloud,Google Cloud CDN,HSTS,HTTP/3,Next.js,Nginx:1.18.0,Node.js,React,Ubuntu,Webpack"
exdrive.biofarma.co.id, 60.253.104.25, web-application, "Apache HTTP Server:2.4.29,HSTS,Nextcloud,PHP,Ubuntu"
kpk-aroma.biofarma.co.id, 34.101.44.48, web-application, "HSTS,Nginx:1.18.0,Ubuntu"
gateway-endpoint.biofarma.co.id, 34.49.234.34, web-application, "Express,HTTP/3,Kong:3.6.1,Node.js"
doc-bind-mobile.biofarma.co.id, 34.49.164.131, web-application, "Express,Google Cloud,Google Cloud CDN,HTTP/3,Node.js" 
psiap.biofarma.co.id, 34.8.227.178, web-application, "Google Cloud,Google Cloud CDN,HSTS,HTTP/3,Nginx"
pph.biofarma.co.id, 34.128.157.213, web-application, "Google Cloud,Google Cloud CDN,HSTS,HTTP/3,Nginx"
ppn.biofarma.co.id, 34.128.157.213, web-application, "Google Cloud,Google Cloud CDN,HSTS,HTTP/3,Nginx"
mobile-mess-dev.biofarma.co.id, 35.201.96.64, web-application, "Google Cloud,Google Cloud CDN,HSTS,HTTP/3"
workspace.biofarma.co.id, 216.58.212.243, web-application, "Google Analytics"
vendors.biofarma.co.id, 60.253.104.27, web-application, "Bootstrap,CodeIgniter,FlexSlider,Flickity:2,HSTS,Modernizr,Nginx,OWL Carousel,PHP,SweetAlert,Unpkg,jQuery,reCAPTCHA"